# diff,idx,note -- first row is the tree shown by default on load
1,170,"diff1, best rescue rate in this tier (81/201 = 40% valid)"
1,1932,"diff1, deepest search found (4 edits, 139/201 valid)"
1,1850,"diff1, near 50/50 split (100/201 = 50% valid)"
2,1200,"diff2, deepest search found (4 edits, 130/201 valid)"
2,1803,"diff2, best rescue rate in this tier (89/201 = 44% valid)"
2,195,"diff2, near 50/50 split (100/200 = 50% valid)"
3,1631,"diff3, deepest search found (4 edits, 112/201 valid)"
3,45,"diff3, best rescue rate in this tier (89/201 = 44% valid)"
3,159,"diff3, near 50/50 split (100/201 = 50% valid)"
4,814,"diff4, deepest search found (4 edits, 122/201 valid)"
4,1552,"diff4, best rescue rate in this tier (104/201 = 52% valid)"
4,689,"diff4, near 50/50 split (100/201 = 50% valid)"
1,3,"diff1, never rescued (0/201 valid)"
1,281,"diff1, widest immediate branching (32 distinct single-edit programs tried)"
3,965,"diff3, identity correct but fragile (only 1/201 edited variants stay correct)"
